Loop_counter,R2 Score Test,R2 Score Training,params,mean_test_score,std_test_score,mean_train_score,std_train_score,imputer_name,outlier_fit_on,outlier_name,outlier_strategy,outlier_threshold,feature_selector_k,feature_selector_remove_constant,feature_selector_remove_constant_threshold,feature_selector_remove_correlated,feature_selector_remove_correlated_threshold,feature_selector_use_select_best_based_on_impurity,feature_selector_use_select_best_k,normalizer_fit_on,normalizer_name,regression_name
0,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.1, 'max_depth': 6, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.9}",0.46072896704569005,0.05852875887421111,0.9865475664493328,0.0019079314533389734,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,train,robustscaler,xgb
0,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 1.0}",0.4555736302824741,0.06846844833131147,0.9829949992718788,0.0013934248157611113,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,train,robustscaler,xgb
0,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.08, 'max_depth': 4, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 1.0}",0.4527703681125752,0.06709208959147357,0.8822245791006068,0.002866671890824495,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,train,robustscaler,xgb
0,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.08, 'max_depth': 4, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 0.9}",0.45074316475047854,0.06728070313987379,0.8851561152183901,0.004761371292529206,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,train,robustscaler,xgb
1,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.1, 'max_depth': 6, 'min_child_weight': 2, 'objective': 'reg:squarederror', 'subsample': 0.9}",0.46072896704569005,0.05852875887421111,0.9865475664493328,0.0019079314533389734,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,test,robustscaler,xgb
1,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 1.0}",0.4555736302824741,0.06846844833131147,0.9829949992718788,0.0013934248157611113,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,test,robustscaler,xgb
1,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.08, 'max_depth': 4, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 1.0}",0.4527703681125752,0.06709208959147357,0.8822245791006068,0.002866671890824495,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,test,robustscaler,xgb
1,0.5029071354547436,0.9822865257844954,"{'booster': 'gbtree', 'eta': 0.08, 'max_depth': 4, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 0.9}",0.45074316475047854,0.06728070313987379,0.8851561152183901,0.004761371292529206,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,True,test,robustscaler,xgb
2,0.5138515057092985,0.9298966380802618,"{'booster': 'gbtree', 'eta': 0.08, 'max_depth': 4, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'subsample': 0.8}",0.4752807693393857,0.08009540076788799,0.9359807796705051,0.0034461581982976977,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,False,train,robustscaler,xgb
2,0.5138515057092985,0.9298966380802618,"{'booster': 'gbtree', 'eta': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'subsample': 0.9}",0.4740116446748823,0.06035357356267688,0.7650011143985092,0.004057570857403708,median,train,customOR,iqr,6.5,100,True,0.01,True,0.8,True,False,train,robustscaler,xgb
